Hoover,Garrison,Glen_Canyon,Oahe,Fort_Peck,Grand_Coulee,Kentucky,Sam_Rayburn,Wolf_Creek,Libby_Dam,Bull_Shoals,Harry_S_Trauman,Denison,Toledo_Bend,Shasta,Flaming_Gorge,Eufaula_Lake,J_Storm_Thurmond,Blakely_Mountain,Oroville,Table_Rock,Hartwell,John_H_Kerr,Norris,New_Melones
220.3302068,607.8411153,326.252063,899,138.6177184,3230.733985,850.1250697,9.1180096,159.2470966,129.4265749,40.87909485,73.17657807,50.27390303,136.3260641,178,29.3265,11.4247427,149.45,38.59349263,140,65.536,48.838,122.3127578,45.15290799,54.51135734
187.1802068,607.8411153,300.980063,874.5785,156.6777184,3155.733985,795.2220697,15.2061216,165.5410966,135.1250749,46.54459485,76.98518767,44.54330303,136.3260641,178,25.65,15.5572427,154.4,41.80499263,140,63.33601644,51.076,138.3590993,47.05531159,51.84315734
220.3302068,607.8411153,326.252063,850.157,166.8745184,3230.733985,850.1250697,12.74256,171.8350966,113.8250749,52.21009485,83.05418767,38.81270303,136.3260641,178,29.3265,19.6897427,149.45,45.01649263,140,60.78001644,48.838,159.5314408,49.65331159,49.17495734
195.3862068,584.5911153,317.274663,825.7355,166.8444184,3305.733985,905.0280697,14.583152,178.1290966,135.1250749,46.54459485,76.98518767,33.08210303,136.3260641,178,25.65,20.0914363,154.4,41.80499263,140,58.22401644,51.076,139.6437823,52.25131159,51.84315734
172.4592068,579.5241153,294.389783,801.314,166.8143184,3230.733985,959.9310697,15.4609728,184.4230966,113.8250749,40.87909485,83.05418767,27.35150303,136.3260641,178,29.3265,16.2120347,152.2647057,38.59349263,140,55.66801644,48.838,149.6301238,54.84931159,54.0582878
205.6092068,556.2741153,319.661783,776.8925,166.7842184,3305.733985,1014.83407,14.724736,190.7170966,128.1190463,35.21359485,89.12318767,21.62090303,136.3260641,178,25.65,15.1359963,147.3147057,35.66917263,140,53.11201644,46.6,156.8704653,57.44731159,51.3900878
172.4592068,533.0241153,294.389783,752.471,148.7242184,3230.733985,1069.73707,21.938836,197.0110966,145.1090463,29.54809485,95.19218767,19.52915243,136.3260641,178,25.65,14.8528283,142.3647057,38.88067263,140,50.55601644,48.838,196.2655653,60.04531159,54.0582878
173.8952068,509.7741153,295.952143,728.0495,138.4070184,3155.733985,1052.787,14.724736,203.3050966,123.8090463,23.88259485,101.2611877,19.59533703,136.3260641,178,25.65,18.4773787,137.4147057,35.66917263,140,50.2,51.076,235.6606653,62.64331159,52.359277
151.4642068,494.5741153,273.563263,703.628,138.3769184,3080.733985,997.8839997,12.0629568,209.5990966,142.2770463,22.65,107.3301877,19.60488803,136.3260641,178,29.3265,22.6098787,132.4647057,32.45767263,140,50.2,53.314,275.0557653,65.24131159,55.027477
147.9522068,471.3241153,270.093383,679.2065,138.3468184,3006.904985,1052.787,12.6576096,215.8930966,133.7820463,28.3155,113.3991877,19.58612223,136.3260641,178,33.003,26.7423787,127.5147057,29.24617263,140,50.2,55.552,275.5098313,67.83931159,54.02997095
181.1022068,466.2571153,295.365383,654.785,120.2868184,3081.904985,1107.69,14.7813696,222.1870966,142.2770463,33.981,119.4681877,19.73725723,136.3260641,178,29.3265,30.8748787,132.4647057,32.45767263,140,50.2,57.79,270.4321728,70.43731159,53.69016879
147.9522068,443.0071153,270.093383,630.3635,120,3156.904985,1162.593,18.4342368,228.4810966,120.9770463,35.22429485,125.5371877,19.86007543,136.3260641,178,25.65,26.7423787,137.4147057,35.66917263,140,52.756,60.028,309.8272728,73.03531159,51.84957376
114.8022068,419.7571153,244.821383,605.942,120,3081.904985,1217.496,21.3508672,234.7750966,130.9510463,29.55879485,131.6061877,19.89794323,136.3260641,178,29.3265,30.8748787,142.3647057,32.45767263,140,50.2,62.266,349.2223728,75.63331159,49.18137376
130.3742068,409.6231153,252.683863,581.5205,120,3006.904985,1272.399,21.2376,238.1,133.7820463,23.89329485,137.6751877,19.96412783,136.3260641,178,25.65,35.0073787,147.3147057,35.66917263,140,50.2,64.504,388.6174728,78.23131159,46.51317376
163.5242068,409.6231153,277.955863,557.099,120,2931.904985,1327.302,20.9827488,238.1,112.4820463,22.65,134.7939349,19.86041163,136.3260641,178,25.65,39.1398787,152.2647057,33.15700013,140,50.2,66.69809423,356.6775388,80.82931159,49.18137376
185.0782068,409.6231153,303.227863,532.6775,120,2856.904985,1382.205,21.9738368,238.1,133.7820463,22.65,140.8629349,19.84164583,136.3260641,178,25.73739117,43.2723787,147.3147057,29.94550013,140,50.2,64.46009423,317.2824388,83.42731159,49.78244396
218.2282068,409.6231153,328.499863,508.256,120,2801.066985,1437.108,25.201952,231.806,125.2870463,28.3155,146.9319349,19.90783043,136.3260641,178,25.77204015,47.4048787,142.3647057,33.15700013,140,50.2,62.22209423,277.8873388,86.02531159,52.45064396
185.0782068,386.3731153,303.227863,494.9147944,120,2829.508985,1492.011,28.599968,225.512,146.5870463,33.981,153.0009349,25.63843043,136.3260641,178,29.44854015,51.5373787,147.3147057,36.36850013,140,52.756,59.98409423,258.2775633,83.42731159,55.02106058
218.2282068,363.1231153,328.499863,519.3362944,138.06,2754.508985,1546.914,31.431648,219.218,130.9510463,28.3155,146.9319349,31.36903043,136.3260641,178,33.12504015,47.4048787,152.2647057,33.15700013,140,50.2,57.74609423,297.6726633,80.82931159,57.68926058
185.0782068,386.3731153,303.227863,543.7577944,156.12,2679.508985,1492.011,30.298976,212.924,147.9410463,22.65,140.8629349,37.09963043,136.3260641,178,29.44854015,43.2723787,147.3147057,36.36850013,140,50.2,55.50809423,258.2775633,78.23131159,60.35746058
218.2282068,409.6231153,328.499863,568.1792944,174.18,2604.508985,1437.108,29.73264,206.63,156.4360463,28.3155,146.9319349,42.83023043,136.3260641,178,26.13717207,39.1398787,142.3647057,39.58000013,140,52.756,53.27009423,221.0705878,75.63331159,62.07195538
251.3782068,409.6231153,351.015823,545.1233453,156.12,2529.508985,1382.205,30.28677353,200.336,156.4360463,33.981,140.8629349,48.56083043,136.3260641,178,25.65,35.0073787,137.4147057,38.32953263,140,55.312,52.28698423,199.9659293,73.03531159,59.40375538
218.2282068,409.6231153,325.743823,520.7018453,138.06,2462.015985,1327.302,25.4568032,194.042,159.2670463,39.6465,134.7939349,54.29143043,141.6705641,178,25.65,31.1349883,132.4647057,35.11803263,140,57.868,50.04898423,160.5708293,70.43731159,56.73555538
251.3782068,432.8731153,351.015823,496.2803453,120,2537.015985,1382.205,32.6709032,187.748,169.1785463,45.312,128.7249349,60.02203043,147.0150641,178,25.65,35.2674883,127.5147057,38.32953263,140,60.424,52.28698423,176.9546123,67.83931159,54.06735538
284.5282068,437.9401153,376.287823,471.8588453,120,2612.015985,1437.108,39.8850032,194.042,173.4260463,43.71933485,122.6559349,65.75263043,149.3380354,178,25.93794618,39.3468603,132.4647057,41.54103263,140,57.868,54.52498423,216.3497123,70.43731159,56.73555538
317.6782068,414.6901153,389.925303,447.4373453,120,2669.102985,1492.011,47.0991032,200.336,190.4160463,38.05597485,116.5869349,71.48323043,149.3380354,178,25.65,43.4793603,137.4147057,38.32953263,140,60.424,56.76298423,255.7448123,73.03531159,58.56066641
350.8282068,391.4401153,402.877423,431.6528328,120,2723.029985,1546.914,54.3132032,206.63,211.7160463,35.22429485,110.5179349,77.21383043,149.3380354,178,29.3265,44.4438843,142.3647057,35.11803263,140,57.868,59.00098423,295.1399123,75.63331159,61.22886641
319.6583087,368.1901153,377.605423,456.0743328,120,2725.986985,1601.817,58.332608,212.924,233.0160463,32.39261485,104.4489349,82.94443043,149.3380354,178,25.65,40.3113843,137.4147057,31.90653263,140,55.312,61.23898423,255.7448123,78.23131159,63.89706641
